City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,bikaner,28.0167,73.3,18.22,39,0,4.44,IN,1675646380
325,buraydah,26.326,43.975,12.25,41,32,3.46,SA,1675646212
326,necochea,-38.5473,-58.7368,23.48,46,96,3.39,AR,1675646358
327,salinopolis,-0.6136,-47.3561,25.27,89,100,4.57,BR,1675646381
328,puerto narino,-3.7703,-70.3831,21.85,96,100,0.82,CO,1675646382
329,cachoeira do sul,-30.0392,-52.8939,22.26,66,100,2.05,BR,1675646383
330,santana,-0.0583,-51.1817,26.1,94,40,3.09,BR,1675646383
331,acapulco,16.8634,-99.8901,27.9,69,0,3.09,MX,1675646245
332,chokurdakh,70.6333,147.9167,-41.07,100,95,0.43,RU,1675646155
333,little current,45.9793,-81.9248,-3.63,86,96,0.45,CA,1675646131
334,borovskoy,53.8,64.15,-16.84,98,93,2.43,KZ,1675646386
335,norman wells,65.282,-126.8329,-29.89,100,72,0.63,CA,1675646159
336,santona,43.4439,-3.4576,11.15,72,100,5.05,ES,1675646387
337,tonj,7.2737,28.6822,24.05,18,100,2.03,SS,1675646388
338,upata,8.0086,-62.3989,23.44,79,40,3.22,VE,1675646388
339,kahama,-3.8333,32.6,16.6,92,100,1.31,TZ,1675646389
340,matamoros,25.5333,-103.25,25.06,14,0,2.57,MX,1675646197
341,constantine,36.365,6.6147,4.67,93,40,1.54,DZ,1675646390
342,baherden,38.4362,57.4316,7.25,54,2,1.88,TM,1675646390
343,koulikoro,14.0,-7.75,21.99,17,0,4.21,ML,1675646391
344,berbera,10.4396,45.0143,22.88,71,81,2.39,SO,1675646391
345,victoria,22.2855,114.1577,19.62,87,84,1.34,HK,1675645905
346,fort nelson,58.8053,-122.7002,-16.14,81,0,1.03,CA,1675646213
347,pangnirtung,66.1451,-65.7125,-37.69,95,95,2.1,CA,1675646392
348,namatanai,-3.6667,152.4333,29.41,65,45,2.15,PG,1675646393
349,pokrovskoye,47.4157,38.8971,-1.3,81,100,5.96,RU,1675646393
350,mehamn,71.0357,27.8492,3.97,65,100,9.26,NO,1675646129
351,road town,18.4167,-64.6167,26.02,73,40,5.66,VG,1675646190
352,khuzhir,53.1939,107.3397,-14.55,90,61,3.68,RU,1675646394
353,luanda,-8.8368,13.2343,26.0,83,75,2.57,AO,1675646395
354,merauke,-8.4667,140.3333,27.57,80,91,3.61,ID,1675646395
355,aloleng,16.1307,119.7824,26.94,65,100,3.34,PH,1675646337
356,harper,4.375,-7.7169,26.57,84,88,3.86,LR,1675646291
357,najran,17.4924,44.1277,14.36,39,60,0.59,SA,1675646396
358,naze,28.3667,129.4833,17.51,88,100,5.21,JP,1675646396
359,owando,-0.4819,15.8999,23.95,74,100,1.28,CG,1675646396
